product_id,category,brand,product_description
421,Meats,BrandB,Description for Pasta
422,Dairy,BrandB,Description for Pasta
423,Meats,BrandC,Description for Cheese
424,Grains,BrandD,Description for Chicken
425,Fruits,BrandA,Description for Butter
426,Dairy,BrandE,Description for Rice
427,Fruits,BrandA,Description for Banana
428,Dairy,BrandC,Description for Bread
429,Grains,BrandA,Description for Chicken
430,Fruits,BrandD,Description for Banana
431,Meats,BrandA,Description for Cheese
432,Dairy,BrandD,Description for Butter
433,Grains,BrandC,Description for Milk
434,Meats,BrandA,Description for Banana
435,Meats,BrandB,Description for Rice
436,Fruits,BrandD,Description for Bread
437,Fruits,BrandD,Description for Milk
438,Fruits,BrandE,Description for Eggs
439,Dairy,BrandE,Description for Butter
440,Fruits,BrandE,Description for Cheese
441,Fruits,BrandA,Description for Bread
442,Meats,BrandB,Description for Pasta
443,Dairy,BrandA,Description for Apple
444,Fruits,BrandE,Description for Apple
445,Meats,BrandD,Description for Butter
446,Dairy,BrandE,Description for Butter
447,Grains,BrandA,Description for Chicken
448,Meats,BrandA,Description for Banana
449,Dairy,BrandA,Description for Cheese
450,Grains,BrandD,Description for Eggs
451,Meats,BrandE,Description for Eggs
452,Grains,BrandC,Description for Banana
453,Grains,BrandD,Description for Butter
454,Fruits,BrandD,Description for Cheese
455,Grains,BrandE,Description for Apple
456,Meats,BrandC,Description for Apple
457,Fruits,BrandC,Description for Banana
458,Fruits,BrandB,Description for Eggs
459,Fruits,BrandC,Description for Bread
460,Meats,BrandB,Description for Apple
461,Meats,BrandC,Description for Cheese
462,Grains,BrandE,Description for Pasta
463,Fruits,BrandD,Description for Pasta
464,Grains,BrandB,Description for Eggs
465,Meats,BrandD,Description for Milk
466,Meats,BrandC,Description for Butter
467,Meats,BrandB,Description for Banana
468,Fruits,BrandE,Description for Eggs
469,Fruits,BrandA,Description for Banana
470,Grains,BrandD,Description for Cheese
471,Fruits,BrandD,Description for Rice
472,Dairy,BrandA,Description for Chicken
473,Dairy,BrandE,Description for Chicken
474,Fruits,BrandE,Description for Banana
475,Dairy,BrandD,Description for Milk
476,Fruits,BrandA,Description for Butter
477,Meats,BrandA,Description for Banana
478,Dairy,BrandB,Description for Milk
479,Fruits,BrandE,Description for Rice
480,Meats,BrandA,Description for Apple
481,Dairy,BrandC,Description for Banana
482,Dairy,BrandC,Description for Rice
483,Dairy,BrandC,Description for Rice
484,Grains,BrandB,Description for Milk
485,Grains,BrandE,Description for Apple
486,Fruits,BrandD,Description for Bread
487,Fruits,BrandC,Description for Apple
488,Meats,BrandB,Description for Banana
489,Fruits,BrandB,Description for Banana
490,Meats,BrandC,Description for Eggs
491,Meats,BrandE,Description for Cheese
492,Fruits,BrandE,Description for Cheese
493,Meats,BrandE,Description for Bread
494,Meats,BrandE,Description for Apple
495,Grains,BrandD,Description for Cheese
496,Meats,BrandB,Description for Cheese
497,Dairy,BrandB,Description for Rice
498,Fruits,BrandA,Description for Rice
499,Meats,BrandB,Description for Bread
500,Dairy,BrandD,Description for Bread
